,Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%,to_drop
7054,2019,MINI,Cooper,JCW,Petrol,Chennai,Automatic,3600000.0,35000,4390000.0,17.995444191343964,0
7055,2020,Renault,Kwid [2019] [2019-2019],1.0 RXT AMT Opt,Petrol,Chennai,Automatic (AMT),445000.0,50000,462000.0,3.67965367965368,0
7057,2021,Hyundai,Tucson [2016-2020],GLS 4WD AT Diesel,Diesel,Chennai,Automatic,2550000.0,30000,2699000.0,5.5205631715450165,0
7058,2021,Maruti Suzuki,Eeco,5 STR AC,Petrol,Chennai,Manual,550000.0,30000,568000.0,3.169014084507042,0
7059,2020,Hyundai,Venue [2019-2022],SX Plus 1.0 AT Petrol [2019-2020],Petrol,Chennai,Automatic,965000.0,80000,1112000.0,13.219424460431656,0
7061,2018,Maruti Suzuki,Ignis [2017-2019],Alpha 1.3 Diesel [2017-2018],Diesel,Chennai,Manual,585000.0,70000,765000.0,23.52941176470588,0
7064,2020,Land Rover,Range Rover Velar [2017-2023],2.0 R-Dynamic S Petrol 250 [2017-2020],Petrol,Chennai,Automatic,6500000.0,69000,7261000.0,10.480650048202726,0
7065,2018,Mahindra,XUV500,W7,Diesel,Chennai,Manual,1200000.0,63500,1559000.0,23.027581783194357,0
7070,2018,MINI,Clubman,Cooper S,Petrol,Chennai,Automatic (DCT),3400000.0,27000,4190000.0,18.85441527446301,0
7071,2020,Volkswagen,Polo,GT,Petrol,Chennai,Automatic (TC),925000.0,47000,1024000.0,9.66796875,0
7073,2014,Audi,Q3 [2012-2015],35 TDI Premium,Diesel,Chennai,Automatic,1800000.0,69000,3375000.0,46.666666666666664,0
7077,2016,Volvo,V40 Cross Country [2013-2016],D3,Diesel,Chennai,Automatic,1590000.0,50000,3328000.0,52.223557692307686,0
7079,2014,Audi,Q5 [2009-2012],2.0 TDI quattro,Diesel,Chennai,Automatic,2450000.0,30000,4453000.0,44.98091174489108,0
7080,2014,Volvo,V40 Cross Country [2013-2016],D3,Diesel,Chennai,Automatic,1300000.0,115000,3328000.0,60.9375,0
7084,2018,Maruti Suzuki,Baleno [2015-2019],Sigma 1.3,Diesel,Chennai,Manual,595000.0,65000,668000.0,10.928143712574851,0
7085,2017,Toyota,Innova Crysta [2016-2020],2.8 ZX AT 7 STR [2016-2020],Diesel,Chennai,Automatic,1950000.0,140000,2258000.0,13.640389725420727,0
7087,2018,Maruti Suzuki,Swift [2011-2014],ZDi,Diesel,Chennai,Manual,625000.0,90000,691000.0,9.55137481910275,0
7088,2020,Kia,Carnival,Prestige 7 STR,Diesel,Chennai,Automatic (TC),2975000.0,38207,3097000.0,3.939296092993219,0
7091,2015,MINI,Cooper,D 3 Door,Diesel,Chennai,Automatic,2200000.0,49000,2990000.0,26.421404682274247,0
7092,2021,BMW,X5,xDrive40i M Sport,Petrol,Chennai,Automatic (TC),8500000.0,6500,10900000.0,22.018348623853214,0
7096,2020,Kia,Seltos [2019-2022],GTX 1.4,Petrol,Chennai,Manual,1450000.0,47000,1566000.0,7.4074074074074066,0
7097,2020,Audi,A4,Premium 40 TFSI,Petrol,Chennai,Automatic (DCT),2800000.0,20400,4534000.0,38.244375827084255,0
7102,2017,BMW,X1 [2016-2020],xDrive20d xLine,Diesel,Chennai,Automatic,2100000.0,50000,3748000.0,43.970117395944506,0
7104,2017,Honda,Jazz [2011-2013],S,Petrol,Chennai,Manual,600000.0,12000,612000.0,1.9607843137254901,0
7106,2019,Kia,Seltos [2019-2022],HTK 1.5,Petrol,Chennai,Manual,1000000.0,28000,1125000.0,11.11111111111111,0
7107,2016,Maruti Suzuki,Baleno [2015-2019],Alpha 1.2,Petrol,Chennai,Manual,650000.0,16000,754000.0,13.793103448275861,0
7108,2017,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,Petrol,Chennai,Manual,525000.0,19000,667000.0,21.289355322338828,0
7112,2017,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Petrol,Chennai,Manual,500000.0,21000,606000.0,17.491749174917494,0
7115,2016,Honda,CR-V [2013-2018],2.4L 4WD AVN,Petrol,Chennai,Automatic,1025000.0,56000,2710000.0,62.17712177121771,0
7116,2022,Hyundai,Venue,S (O) 1.2 Petrol,Petrol,Chennai,Manual,850000.0,14000,989000.0,14.054600606673407,0
7117,2022,Skoda,Slavia,Ambition 1.0L TSI AT,Petrol,Chennai,Automatic (TC),1375000.0,8000,1473000.0,6.6530889341479975,0
