Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,585000.0,28000,700000.0,16.428571428571427
2018,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,490000.0,62000,700000.0,30.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,290000.0,76000,700000.0,58.57142857142858
2020,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,550000.0,41000,700000.0,21.428571428571427
2019,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,580000.0,17201,700000.0,17.142857142857142
2015,Maruti Suzuki,Swift,VXi,Petrol,Kolkata,Manual,380000.0,50000,700000.0,45.714285714285715
2020,Maruti Suzuki,Swift,VXi,Petrol,Kharagpur,Manual,530000.0,24500,700000.0,24.285714285714285
2020,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,700000.0,10887,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,625000.0,34891,700000.0,10.714285714285714
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,555000.0,43607,700000.0,20.714285714285715
2020,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,625000.0,25000,700000.0,10.714285714285714
2022,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,695000.0,23718,700000.0,0.7142857142857143
2021,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,680000.0,21000,700000.0,2.857142857142857
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,402000.0,76928,700000.0,42.57142857142857
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,359000.0,70860,700000.0,48.714285714285715
2017,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,517000.0,47322,700000.0,26.142857142857146
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,575000.0,28236,700000.0,17.857142857142858
2018,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,525000.0,37000,700000.0,25.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,409000.0,19600,700000.0,41.57142857142857
2018,Maruti Suzuki,Swift,VXi,Petrol,Thane,Manual,595000.0,49000,700000.0,15.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Thane,Manual,540000.0,44000,700000.0,22.857142857142858
2019,Maruti Suzuki,Swift,VXi,Petrol,Thane,Manual,590000.0,27165,700000.0,15.714285714285714
2018,Maruti Suzuki,Swift,VXi,Petrol,Navi,Manual,535000.0,31123,700000.0,23.57142857142857
2019,Maruti Suzuki,Swift,VXi,Petrol,Thane,Manual,595000.0,53000,700000.0,15.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,420000.0,65500,700000.0,40.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,399000.0,63000,700000.0,43.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,445000.0,48550,700000.0,36.42857142857142
2014,Maruti Suzuki,Swift,VXi,Petrol,Mumbai,Manual,343000.0,50239,700000.0,51.0
